mfc1,mfc2,mfc3,mfc4,mfc5,mfc6,mfc7,mfc8,mfc9,mfc10,x1,y1,x2,y2,n,split
0.037,0.103,0.1153,0.0637,0.0358,0.03,0.0596,0.1013,0.1128,0.0558,10180.0,3850.0,6930.0,600.0,2,train
0.0301,0.0876,0.0816,0.0244,0.0119,0.0228,0.038,0.0331,0.0206,0.0304,6930.0,600.0,,,1,train
0.0531,0.1154,0.1065,0.0371,0.0175,0.056,0.2102,0.1045,0.0375,0.0354,6930.0,600.0,6430.0,4850.0,2,train
0.0272,0.0345,0.0294,0.0185,0.0109,0.0377,0.1798,0.0781,0.023,0.0299,6430.0,4850.0,,,1,train
0.0135,0.0298,0.1236,0.0444,0.0173,0.0127,0.0244,0.0304,0.0269,0.0335,8930.0,850.0,,,1,train
0.1281,0.0735,0.1385,0.0494,0.0191,0.0683,0.0596,0.0446,0.0319,0.0354,8930.0,850.0,2430.0,1850.0,2,test
0.1194,0.0505,0.0197,0.011,0.0,0.0611,0.0437,0.021,0.0112,0.0268,2430.0,1850.0,,,1,test
0.1262,0.0654,0.0649,0.0753,0.0366,0.0679,0.0604,0.0586,0.0655,0.0516,2430.0,1850.0,10430.0,2350.0,2,train
0.0116,0.0216,0.0494,0.0699,0.0345,0.0123,0.025,0.0441,0.0601,0.05,10430.0,2350.0,,,1,train
0.011,0.0252,0.0687,0.2372,0.067,0.0122,0.0283,0.0545,0.0813,0.0678,10430.0,2350.0,11680.0,850.0,2,test
0.0,0.0122,0.0245,0.1726,0.0387,0.0,0.0138,0.0181,0.0284,0.0438,11680.0,850.0,,,1,train
0.0,0.0158,0.0378,0.1924,0.0553,0.0,0.02,0.047,0.1845,0.0653,11680.0,850.0,11180.0,4600.0,2,train
0.0,0.0121,0.0184,0.0253,0.0224,0.0,0.0163,0.0365,0.1612,0.0476,11180.0,4600.0,,,1,train
0.1035,0.0512,0.0201,0.0,0.0,0.0743,0.0498,0.0221,0.0092,0.0247,2680.0,2350.0,,,1,train
0.1793,0.0877,0.0348,0.0135,0.0,0.1646,0.0925,0.0376,0.0144,0.0256,2680.0,2350.0,1930.0,3350.0,2,train
0.0832,0.0441,0.0244,0.0339,0.1667,0.097,0.0524,0.027,0.0324,0.1004,1930.0,3350.0,15430.0,1850.0,2,train
0.0095,0.0116,0.0121,0.0301,0.165,0.0097,0.0136,0.0143,0.0285,0.0996,15430.0,1850.0,,,1,test
0.0097,0.0275,0.1524,0.0318,0.0147,0.01,0.0201,0.0248,0.0202,0.0316,8680.0,600.0,,,1,train
0.1783,0.0638,0.163,0.0357,0.0157,0.0521,0.0471,0.0359,0.0239,0.0324,8680.0,600.0,1430.0,350.0,2,train
0.1701,0.0415,0.0148,0.0085,0.0,0.0454,0.0336,0.0176,0.0091,0.0268,1430.0,350.0,,,1,train
0.1695,0.0416,0.0188,0.0315,0.1507,0.0449,0.0336,0.0204,0.0307,0.1119,1430.0,350.0,15930.0,2100.0,2,train
0.0,0.01,0.01,0.0298,0.1495,0.0,0.0118,0.0132,0.0291,0.1112,15930.0,2100.0,,,1,test
0.0124,0.029,0.0505,0.0356,0.0191,0.0149,0.0368,0.0624,0.0399,0.0373,8680.0,2850.0,,,1,train
